,,SOLFEGE GAMES,,,,Rightmost columns are reminders of updates needed to individual games,,,Game Updates Needed,,,,,,,,
,71000,GAM-,1310-3,QUIZ,Interval Arcade 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - different roots",,1310,T,,,,,,L,,
,77300,GAM-,1310-5,REVIEW,Interval Arcade 2,"Hear & identify 5ths, 6ths, 7ths and octaves  - different roots",,1310,T,,,,,,L,,
,51150,GAM-,1380-1,LEARN,Interval Rockets 1,"Identify 2nds, 3rds, 4ths, 5ths, 6ths, 7ths & 8ve on the staff",,1380,T,,,,,,L,,
,51200,GAM-,1380-2,PLAY,Interval Rockets 1,"Identify 2nds, 3rds, 4ths, 5ths, 6ths, 7ths & 8ve on the staff",,1380,T,,,,,,L,,
,51250,GAM-,1380-3,QUIZ,Interval Rockets 1,"Identify 2nds, 3rds, 4ths, 5ths, 6ths, 7ths & 8ve on the staff",,1380,T,,,,,,L,,
,52900,GAM-,1380-5,REVIEW,Interval Rockets 1,"Identify 2nds, 3rds, 4ths, 5ths, 6ths, 7ths & 8ve on the staff",,1380,T,,,,,,L,,
,24800,GAM-,1390-1,LEARN,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,24850,GAM-,1390-2,PLAY,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,24900,GAM-,1390-3,QUIZ,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,26550,GAM-,1390-5,REVIEW,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,31150,GAM-,1390-1,LEARN,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,31200,GAM-,1390-2,PLAY,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,31250,GAM-,1390-3,QUIZ,MIDI Interval Rockets 2 ,Read and play harmonic 2nds through 5ths starting on bass C,,1390,T,,,,,,L,,
,45150,GAM-,1400-1,LEARN,Interval Slide 1,Aurally identify an interval then choose the written version of the interval. CFG 2nds-5ths,,1400,T,,,,,,L,,
,45200,GAM-,1400-2,PLAY,Interval Slide 1,Aurally identify an interval then choose the written version of the interval. CFG 2nds-5ths,,1400,T,,,,,,L,,
,45250,GAM-,1400-3,QUIZ,Interval Slide 1,Aurally identify an interval then choose the written version of the interval. CFG 2nds-5ths,,1400,T,,,,,,L,,
,46750,GAM-,1400-5,REVIEW,Interval Slide 1,Aurally identify an interval then choose the written version of the interval. CFG 2nds-5ths,,1400,T,,,,,,L,,
,23650,GAM-,1410-1,LEARN,Interval Surprise 1,"Name Intervals - 2nds, 3rds, 4ths, and 5ths",,1410,T,,,,,,L,,
,23700,GAM-,1410-2,PLAY,Interval Surprise 1,"Name Intervals - 2nds, 3rds, 4ths, and 5ths",,1410,T,,,,,,L,,
,23750,GAM-,1410-3,QUIZ,Interval Surprise 1,"Name Intervals - 2nds, 3rds, 4ths, and 5ths",,1410,T,,,,,,L,,
,26150,GAM-,1410-5,REVIEW,Interval Surprise 1,"Name Intervals - 2nds, 3rds, 4ths, and 5ths",,1410,T,,,,,,L,,
,40850,GAM-,1420-1,LEARN,Interval Surprise 2,"Visually identify Intervals - half steps, 2nds (whole steps), 3rds, 4ths, and 5ths",,1420,T,,,,,,L,,
,40900,GAM-,1420-2,PLAY,Interval Surprise 2,"Visually identify Intervals - half steps, 2nds (whole steps), 3rds, 4ths, and 5ths",,1420,T,,,,,,L,,
,40950,GAM-,1420-3,QUIZ,Interval Surprise 2,"Visually identify Intervals - half steps, 2nds (whole steps), 3rds, 4ths, and 5ths",,1420,T,,,,,,L,,
,45800,GAM-,1420-5,REVIEW,Interval Surprise 2,"Visually identify Intervals - half steps, 2nds (whole steps), 3rds, 4ths, and 5ths",,1420,T,,,,,,L,,
,25200,GAM-,1470-1,LEARN,Jingle Notes 1,Identify all lines and spaces on the treble staff,,1470,T,,,,,,L,,
,25250,GAM-,1470-2,PLAY,Jingle Notes 1,Identify all lines and spaces on the treble staff,,1470,T,,,,,,L,,
,25300,GAM-,1470-3,QUIZ,Jingle Notes 1,Identify all lines and spaces on the treble staff,,1470,T,,,,,,L,,
,28300,GAM-,1470-5,REVIEW,Jingle Notes 1,Identify all lines and spaces on the treble staff,,1470,T,,,,,,L,,
,25200,GAM-,1480-1,LEARN,Jingle Notes 1 S,Identify all lines and spaces on the treble staff,,1480,T,,,,,,L,,
,25250,GAM-,1480-2,PLAY,Jingle Notes 1 S,Identify all lines and spaces on the treble staff,,1480,T,,,,,,L,,
,25300,GAM-,1480-3,QUIZ,Jingle Notes 1 S,Identify all lines and spaces on the treble staff,,1480,T,,,,,,L,,
,28300,GAM-,1480-5,REVIEW,Jingle Notes 1,Identify all lines and spaces on the treble staff,,1490,T,,,,,,L,,
,26750,GAM-,1490-1,LEARN,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1490,T,,,,,,L,,
,26800,GAM-,1490-2,PLAY,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1490,T,,,,,,L,,
,26850,GAM-,1490-3,QUIZ,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1490,T,,,,,,L,,
,26900,GAM-,1490-4,CHALLENGE,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1490,T,,,,,,L,,
,29650,GAM-,1490-5,REVIEW,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1490,T,,,,,,L,,
,26750,GAM-,1500-1,LEARN,Jingle Notes 2 S,Identify all lines and spaces on the bass staff.,,1500,T,,,,,,L,,
,26800,GAM-,1500-2,PLAY,Jingle Notes 2 S,Identify all lines and spaces on the bass staff.,,1500,T,,,,,,L,,
,26850,GAM-,1500-3,QUIZ,Jingle Notes 2 S,Identify all lines and spaces on the bass staff.,,1500,T,,,,,,L,,
,26900,GAM-,1500-4,CHALLENGE,Jingle Notes 2 S,Identify all lines and spaces on the bass staff.,,1500,T,,,,,,L,,
,29650,GAM-,1500-5,REVIEW,Jingle Notes 2,Identify all lines and spaces on the bass staff.,,1500,T,,,,,,L,,
,54250,GAM-,1510-1,LEARN,Jingle Notes 3,Identify and name three ledger lines above the treble staff,,1510,T,,,,,,L,,
,54300,GAM-,1510-2,PLAY,Jingle Notes 3,Identify and name three ledger lines above the treble staff,,1510,T,,,,,,L,,
,54350,GAM-,1510-3,QUIZ,Jingle Notes 3,Identify and name three ledger lines above the treble staff,,1510,T,,,,,,L,,
,54400,GAM-,1510-4,CHALLENGE,Jingle Notes 3,Identify and name three ledger lines above the treble staff,,1510,T,,,,,,L,,
,61950,GAM-,1510-5,REVIEW,Jingle Notes 3,Identify and name three ledger lines above the treble staff,,1510,T,,,,,,L,,
,54100,GAM-,1520-1,LEARN,Jingle Notes 3 S,Identify and name three ledger lines above the treble staff,,1520,T,,,,,,L,,
,54150,GAM-,1520-2,PLAY,Jingle Notes 3 S,Identify and name three ledger lines above the treble staff,,1520,T,,,,,,L,,
,54200,GAM-,1520-3,QUIZ,Jingle Notes 3 S,Identify and name three ledger lines above the treble staff,,1520,T,,,,,,L,,
,54250,GAM-,1520-4,CHALLENGE,Jingle Notes 3 S,Identify and name three ledger lines above the treble staff,,1520,T,,,,,,L,,
,61800,GAM-,1520-5,REVIEW,Jingle Notes 3 S,Identify and name three ledger lines above the treble staff,,1520,T,,,,,,L,,
,55700,GAM-,1530-1,LEARN,Jingle Notes 4,Identify and name three ledger lines below the bass staff,,1530,T,,,,,,L,,
,55750,GAM-,1530-2,PLAY,Jingle Notes 4,Identify and name three ledger lines below the bass staff,,1530,T,,,,,,L,,
,55800,GAM-,1530-3,QUIZ,Jingle Notes 4,Identify and name three ledger lines below the bass staff,,1530,T,,,,,,L,,
,55850,GAM-,1530-4,CHALLENGE,Jingle Notes 4,Identify and name three ledger lines below the bass staff,,1530,T,,,,,,L,,
,61200,GAM-,1530-5,REVIEW,Jingle Notes 4,Identify and name three ledger lines below the bass staff,,1530,T,,,,,,L,,
,55550,GAM-,1540-1,LEARN,Jingle Notes 4 S,Identify and name three ledger lines below the bass staff,,1540,T,,,,,,L,,
,55600,GAM-,1540-2,PLAY,Jingle Notes 4 S,Identify and name three ledger lines below the bass staff,,1540,T,,,,,,L,,
,55650,GAM-,1540-3,QUIZ,Jingle Notes 4 S,Identify and name three ledger lines below the bass staff,,1540,T,,,,,,L,,
,55700,GAM-,1540-4,CHALLENGE,Jingle Notes 4 S,Identify and name three ledger lines below the bass staff,,1540,T,,,,,,L,,
,61050,GAM-,1540-5,REVIEW,Jingle Notes 4 S,Identify and name three ledger lines below the bass staff,,1540,T,,,,,,L,,
,34500,GAM-,1780-2,PLAY,Major Triad Matching Game,Matching major triads in a popular game format,,1780,T,,,,,,L,,
,03450,GAM-,1810-1,LEARN,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,1810,T,,,,,,L,,
,03500,GAM-,1810-2,PLAY,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,1810,T,,,,,,L,,
,03550,GAM-,1810-3,QUIZ,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,1810,T,,,,,,L,,
,06150,GAM-,1810-5,REVIEW,Manny's Short & Long 1,Identify which pattern of short and long notes is the one you hear.,,1810,T,,,,,,L,,
,06600,GAM-,1820-1,LEARN,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,1820,T,,,,,,L,,
,06650,GAM-,1820-2,PLAY,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,1820,T,,,,,,L,,
,06700,GAM-,1820-3,QUIZ,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,1820,T,,,,,,L,,
,08650,GAM-,1820-5,REVIEW,Manny's Short & Long 2,Identify which pattern of short and long notes is the one you hear.,,1820,T,,,,,,L,,
,06450,GAM-,1830-1,LEARN,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,1830,T,,,,,,L,,
,06500,GAM-,1830-2,PLAY,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,1830,T,,,,,,L,,
,06550,GAM-,1830-3,QUIZ,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,1830,T,,,,,,L,,
,08550,GAM-,1830-5,REVIEW,Melody Match 1,Hear a melody and tell which melody matches the one you heard,,1830,T,,,,,,L,,
,22300,GAM-,1840-1,LEARN,Melody Match 2,Hear a melody and tell which melody matches the one you heard,,1840,T,,,,,,L,,
,22350,GAM-,1840-2,PLAY,Melody Match 2,Hear a melody and tell which melody matches the one you heard,,1840,T,,,,,,L,,
,22400,GAM-,1840-3,QUIZ,Melody Match 2,Hear a melody and tell which melody matches the one you heard,,1840,T,,,,,,L,,
,26300,GAM-,1840-5,REVIEW,Melody Match 2,Hear a melody and tell which melody matches the one you heard,,1840,T,,,,,,L,,
,41000,GAM-,1850-1,LEARN,Melody Match 3,"Hear a melody, then tell which of 3 melodies is the match",,1850,T,,,,,,L,,
,41050,GAM-,1850-2,PLAY,Melody Match 3,"Hear a melody, then tell which of 3 melodies is the match",,1850,T,,,,,,L,,
,41100,GAM-,1850-3,QUIZ,Melody Match 3,"Hear a melody, then tell which of 3 melodies is the match",,1850,T,,,,,,L,,
,43300,GAM-,1850-5,REVIEW,Melody Match 3,"Hear a melody, then tell which of 3 melodies is the match",,1850,T,,,,,,L,,
,62000,GAM-,1860-1,LEARN,Melody Match 4,"Hear a melody, then tell which of 3 melodies is the match",,1860,T,,,,,,L,,
,62050,GAM-,1860-2,PLAY,Melody Match 4,"Hear a melody, then tell which of 3 melodies is the match",,1860,T,,,,,,L,,
,62100,GAM-,1860-3,QUIZ,Melody Match 4,"Hear a melody, then tell which of 3 melodies is the match",,1860,T,,,,,,L,,
,64100,GAM-,1860-5,REVIEW,Melody Match 4,"Hear a melody, then tell which of 3 melodies is the match",,1860,T,,,,,,L,,
,25850,GAM-,1920-1,LEARN,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,25900,GAM-,1920-2,PLAY,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,25950,GAM-,1920-3,QUIZ,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,29500,GAM-,1920-5,REVIEW,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,41850,GAM-,1920-1,LEARN,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,41900,GAM-,1920-2,PLAY,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,41950,GAM-,1920-3,QUIZ,MIDI Melody Mimic 1,"Hear then playback 4-note patterns in C,G,or F Major 1st 3 notes steps-repeats",,1920,T,M,,,,,L,,
,44050,GAM-,1930-1,LEARN,MIDI Melody Mimic 2,"Hear, then play back 4-note patterns in C, F and G Major, 2nds and 3rds",,1930,T,M,,,,,L,,
,44100,GAM-,1930-2,PLAY,MIDI Melody Mimic 2,"Hear, then play back 4-note patterns in C, F and G Major, 2nds and 3rds",,1930,T,M,,,,,L,,
,44150,GAM-,1930-3,QUIZ,MIDI Melody Mimic 2,"Hear, then play back 4-note patterns in C, F and G Major, 2nds and 3rds",,1930,T,M,,,,,L,,
,45850,GAM-,1930-5,REVIEW,MIDI Melody Mimic 2,"Hear, then play back 4-note patterns in C, F and G Major, 2nds and 3rds",,1930,T,M,,,,,L,,
,60150,GAM-,1940-1,LEARN,MIDI Melody Mimic 3,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1940,T,M,,,,,L,,
,60200,GAM-,1940-2,PLAY,MIDI Melody Mimic 3,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1940,T,M,,,,,L,,
,60250,GAM-,1940-3,QUIZ,MIDI Melody Mimic 3,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1940,T,M,,,V,,L,,
,77900,GAM-,1950-1,LEARN,MIDI Melody Mimic 4,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1950,T,M,,,,,L,,
,77950,GAM-,1950-2,PLAY,MIDI Melody Mimic 4,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1950,T,M,,,,,L,,
,78000,GAM-,1950-3,QUIZ,MIDI Melody Mimic 4,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1950,T,M,,,,,L,,
,79800,GAM-,1950-5,REVIEW,MIDI Melody Mimic 4,"Hear then play back a pattern of 4 notes in C, G or F Major starting on Do, Re or Mi",,1950,T,M,,,,,L,,
,06750,GAM-,1960-1,LEARN,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,1960,T,,,,,,L,,
,06800,GAM-,1960-2,PLAY,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,1960,T,,,,,,L,,
,06850,GAM-,1960-3,QUIZ,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,1960,T,,,,,,L,,
,08500,GAM-,1960-5,REVIEW,Melody Pix 1,"Hear and identify melody block patterns of Do-Re-Mi - same tonic
",,1960,T,,,,,,L,,
,10050,GAM-,1970-1,LEARN,Melody Pix 2,Hear and identify patterns of Do-Re-Mi -different tonics; staff & noteheads.,,1970,T,,,,,,L,,
,10100,GAM-,1970-2,PLAY,Melody Pix 2,Hear and identify patterns of Do-Re-Mi -different tonics; staff & noteheads.,,1970,T,,,,,,L,,
,10150,GAM-,1970-3,QUIZ,Melody Pix 2,Hear and identify patterns of Do-Re-Mi -different tonics; staff & noteheads.,,1970,T,,,,,,L,,
,12100,GAM-,1970-5,REVIEW,Melody Pix 2,Hear and identify patterns of Do-Re-Mi -different tonics; staff & noteheads.,,1970,T,,,,,,L,,
,20850,GAM-,1980-1,LEARN,Melody Pix 3,Listen to a melodic pattern and tell whether it is the same as or different than the written pattern.,,1980,T,,,,,,L,,
,20900,GAM-,1980-2,PLAY,Melody Pix 3,Listen to a melodic pattern and tell whether it is the same as or different than the written pattern.,,1980,T,,,,,,L,,
,20950,GAM-,1980-3,QUIZ,Melody Pix 3,Listen to a melodic pattern and tell whether it is the same as or different than the written pattern.,,1980,T,,,,,,L,,
,22050,GAM-,1980-5,REVIEW,Melody Pix 3,Listen to a melodic pattern and tell whether it is the same as or different than the written pattern.,,1980,T,,,,,,L,,
,29550,GAM-,1990-2,PLAY,Melody Puzzles 1,"Hear a melody, see the measures out of order, and put measures in order",,1990,T,,,,,,L,,
,21650,GAM-,2000-1,LEARN,MIDI Memory Playback 1,Hear and play back random patterns of CDE on the MIDI keyboard,,2000,T,M,,,,,L,,
,21700,GAM-,2000-2,PLAY,MIDI Memory Playback 1,Hear and play back random patterns of CDE on the MIDI keyboard,,2000,T,M,,,,,L,,
,21750,GAM-,2000-3,QUIZ,MIDI Memory Playback 1,Hear and play back random patterns of CDE on the MIDI keyboard,,2000,T,M,,,,,L,,
,24950,GAM-,2000-5,REVIEW,MIDI Memory Playback 1,Hear and play back random patterns of CDE on the MIDI keyboard,,2000,T,M,,,,,L,,
,42350,GAM-,2010-1,LEARN,MIDI Memory Playback 2,"Hear, then play back random patterns of CDEFG on a MIDI keyboard",,2010,T,M,,,,,L,,
,42400,GAM-,2010-2,PLAY,MIDI Memory Playback 2,"Hear, then play back random patterns of CDEFG on a MIDI keyboard",,2010,T,M,,,,,L,,
,42450,GAM-,2010-3,QUIZ,MIDI Memory Playback 2,"Hear, then play back random patterns of CDEFG on a MIDI keyboard",,2010,T,M,,,,,L,,
,44200,GAM-,2010-5,REVIEW,MIDI Memory Playback 2,"Hear, then play back random patterns of CDEFG on a MIDI keyboard",,2010,T,M,,,,,L,,
,02550,GAM-,2020-1,LEARN,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,T,,,,,,L,,
,02600,GAM-,2020-2,PLAY,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,T,,,,,,L,,
,02650,GAM-,2020-3,QUIZ,Meteor Match 1,"Name notes and rests - Quarter note, half note",,2020,T,,,,,,L,,
,01950,GAM-,2030-1,LEARN,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,T,,,,,,L,,
,02000,GAM-,2030-2,PLAY,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,T,,,,,,L,,
,02050,GAM-,2030-3,QUIZ,Meteor Match 1 A,"Name notes and rests - Quarter note, quarter rest",,2030,T,,,,,,L,,
,03600,GAM-,2040-1,LEARN,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,2040,T,,,,,,L,,
,03650,GAM-,2040-2,PLAY,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,2040,T,,,,,,L,,
,03700,GAM-,2040-3,QUIZ,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,2040,T,,,,,,L,,
,06100,GAM-,2040-5,REVIEW,Meteor Match 2,"Name notes and rests - Quarter and half note, quarter rest ",,2040,T,,,,,,L,,
,06950,GAM-,2050-1,LEARN,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,2050,T,,,,,,L,,
,07000,GAM-,2050-2,PLAY,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,2050,T,,,,,,L,,
,07050,GAM-,2050-3,QUIZ,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,2050,T,,,,,,L,,
,08400,GAM-,2050-5,REVIEW,Meteor Match 3,"Name notes and rests  Quarter, half, dotted half and whole notes ",,2050,T,,,,,,L,,
,19900,GAM-,2060-1,LEARN,Meteor Match 4,Name rhythm symbols - Quarter and half notes; quarter and half rests ,,2060,T,,,,,,L,,
,19950,GAM-,2060-2,PLAY,Meteor Match 4,Name rhythm symbols - Quarter and half notes; quarter and half rests ,,2060,T,,,,,,L,,
,20000,GAM-,2060-3,QUIZ,Meteor Match 4,Name rhythm symbols - Quarter and half notes; quarter and half rests ,,2060,T,,,,,,L,,
,21800,GAM-,2060-5,REVIEW,Meteor Match 4,Name rhythm symbols - Quarter and half notes; quarter and half rests ,,2060,T,,,,,,L,,
,32650,GAM-,2120-1,LEARN,Monkey Hear Monkey Do 1,"Hear, then play back a randomly presented series of pitches in the C Major Pentascale",,2120,T,,,,,,L,,
,32700,GAM-,2120-2,PLAY,Monkey Hear Monkey Do 1,"Hear, then play back a randomly presented series of pitches in the C Major Pentascale",,2120,T,,,,,,L,,
,32750,GAM-,2120-3,QUIZ,Monkey Hear Monkey Do 1,"Hear, then play back a randomly presented series of pitches in the C Major Pentascale",,2120,T,,,,,,L,,
,34400,GAM-,2120-5,REVIEW,Monkey Hear Monkey Do 1,"Hear, then play back a randomly presented series of pitches in the C Major Pentascale",,2120,T,,,,,,L,,
,39200,GAM-,2130-1,LEARN,Monkey Hear Monkey Do 2,"Hear, then play back a randomly presented series of pitches in the D Major Pentascale",,2130,T,,,,,,L,,
,39250,GAM-,2130-2,PLAY,Monkey Hear Monkey Do 2,"Hear, then play back a randomly presented series of pitches in the D Major Pentascale",,2130,T,,,,,,L,,
,39300,GAM-,2130-3,QUIZ,Monkey Hear Monkey Do 2,"Hear, then play back a randomly presented series of pitches in the D Major Pentascale",,2130,T,,,,,,L,,
,43250,GAM-,2130-5,REVIEW,Monkey Hear Monkey Do 2,"Hear, then play back a randomly presented series of pitches in the D Major Pentascale",,2130,T,,,,,,L,,
,08900,GAM-,2140-1,LEARN,Music Darts 1,"Identify music symbols (see the ""Learn"" level of the game)",,2140,T,,,,,,L,,
,08950,GAM-,2140-2,PLAY,Music Darts 1,"Identify music symbols (see the ""Learn"" level of the game)",,2140,T,,,,,,L,,
,09000,GAM-,2140-3,QUIZ,Music Darts 1,"Identify music symbols (see the ""Learn"" level of the game)",,2140,T,,,,,,L,,
,12200,GAM-,2140-5,REVIEW,Music Darts 1,"Identify music symbols (see the ""Learn"" level of the game)",,2140,T,,,,,,L,,
,14550,GAM-,2150-1,LEARN,Music Darts 2,"Identify music symbols (see the ""Learn"" level of the game)",,2150,T,,,,,,L,,
,14600,GAM-,2150-2,PLAY,Music Darts 2,"Identify music symbols (see the ""Learn"" level of the game)",,2150,T,,,,,,L,,
,14650,GAM-,2150-3,QUIZ,Music Darts 2,"Identify music symbols (see the ""Learn"" level of the game)",,2150,T,,,,,,L,,
,17300,GAM-,2150-5,REVIEW,Music Darts 2,"Identify music symbols (see the ""Learn"" level of the game)",,2150,T,,,,,,L,,
,25050,GAM-,2160-1,LEARN,Music Darts 3,"Identify music symbols (see the ""Learn"" level of the game)",,2160,T,,,,,,L,,
,25100,GAM-,2160-2,PLAY,Music Darts 3,"Identify music symbols (see the ""Learn"" level of the game)",,2160,T,,,,,,L,,
,25150,GAM-,2160-3,QUIZ,Music Darts 3,"Identify music symbols (see the ""Learn"" level of the game)",,2160,T,,,,,,L,,
,29600,GAM-,2160-5,REVIEW,Music Darts 3,"Identify music symbols (see the ""Learn"" level of the game)",,2160,T,,,,,,L,,
,38750,GAM-,2170-1,LEARN,"Music Darts 4-Rhythm
(sofege level 1 symbols??)",Name note and rest values through eighth notes and rests and eighth-note pairs ,,2170,T,,,,,,L,,
,38800,GAM-,2170-2,PLAY,"Music Darts 4-Rhythm
(sofege level 1 symbols??)",Name note and rest values through eighth notes and rests and eighth-note pairs ,,2170,T,,,,,,L,,
,38850,GAM-,2170-3,QUIZ,"Music Darts 4-Rhythm
(sofege level 1 symbols??)",Name note and rest values through eighth notes and rests and eighth-note pairs ,,2170,T,,,,,,L,,
,46200,GAM-,2170-5,REVIEW,"Music Darts 4-Rhythm
(sofege level 1 symbols??)",Name note and rest values through eighth notes and rests and eighth-note pairs ,,2170,T,,,,,,L,,
,05800,GAM-,2180-1,LEARN,Music Symbol Match 1,Popular memory/concentration game format,,2180,T,,,,,,L,,
,05850,GAM-,2180-2,PLAY,Music Symbol Match 1,Popular memory/concentration game format,,2180,T,,,,,,L,,
,05900,GAM-,2180-3,QUIZ,Music Symbol Match 1,Popular memory/concentration game format,,2180,T,,,,,,L,,
,05950,GAM-,2180-4,CHALLENGE,Music Symbol Match 1,Popular memory/concentration game format,,2180,T,,,,,,L,,
,12000,GAM-,2180-5,REVIEW,Music Symbol Match 1,Popular memory/concentration game format,,2180,T,,,,,,L,,
,17650,GAM-,2190-2,PLAY,Musical Memory 1 CDE,Play back random patterns of C D E on the staff with visual clues,,2180,T,,,,,,L,,
,17700,GAM-,2190-3,QUIZ,Musical Memory 1 CDE,Play back random patterns of C D E on the staff with visual clues,,2180,T,,,,,,L,,
,25600,GAM-,2200-2,PLAY,Musical Memory 1 CDEFG,Play back random patterns of C D E F G on the staff with visual clues,,2200,T,,,,,,L,,
,25650,GAM-,2200-3,QUIZ,Musical Memory 1 CDEFG,Play back random patterns of C D E F G on the staff with visual clues,,2200,T,,,,,,L,,
,26650,GAM-,2210-2,PLAY,Musical Memory 1 CDEG,Play back random patterns of C D E G on the staff with visual clues,,2210,T,,,,,,L,,
,26700,GAM-,2210-3,QUIZ,Musical Memory 1 CDEG,Play back random patterns of C D E G on the staff with visual clues,,2210,T,,,,,,L,,
,27150,GAM-,2220-2,PLAY,Musical Memory 2 CDE,Hear and play back random patterns of C  D  E  notes on staff,,2220,T,,,,,,L,,
,27200,GAM-,2220-3,QUIZ,Musical Memory 2 CDE,Hear and play back random patterns of C  D  E  notes on staff,,2220,T,,,,,,L,,
,33150,GAM-,2230-2,PLAY,Musical Memory 2 CDEG,Play back random patterns of C D E G on the staff,,2230,T,,,,,,L,,
,33200,GAM-,2230-3,QUIZ,Musical Memory 2 CDEG,Play back random patterns of C D E G on the staff,,2230,T,,,,,,L,,
,37800,GAM-,2240-2,PLAY,Musical Memory 2-CDEFG,Hear and play back random patterns of C  D  E  F  G-- notes on staff,,2240,T,,,,,,L,,
,37850,GAM-,2240-3,QUIZ,Musical Memory 2-CDEFG,Hear and play back random patterns of C  D  E  F  G-- notes on staff,,2240,T,,,,,,L,,
,41600,GAM-,2240-5,REVIEW,Musical Memory 2-CDEFG,Hear and play back random patterns of C  D  E  F  G-- notes on staff,,2240,T,,,,,,L,,
,29050,GAM-,2250-2,PLAY,Musical Memory 3-CDE,"Hear, then play back random patterns of C  D  E on the onscreen keybd",,2250,T,,,,,,L,,
,29100,GAM-,2250-3,QUIZ,Musical Memory 3-CDE,"Hear, then play back random patterns of C  D  E on the onscreen keybd",,2250,T,,,,,,L,,
,44900,GAM-,2260-2,PLAY,Musical Memory 3-CDEFG,Play back random patterns of C D E F G on the onscreen keyboard,,2260,T,,,,,,L,,
,44950,GAM-,2260-3,QUIZ,Musical Memory 3-CDEFG,Play back random patterns of C D E F G on the onscreen keyboard,,2260,T,,,,,,L,,
,46900,GAM-,2260-5,REVIEW,Musical Memory 3-CDEFG,Play back random patterns of C D E F G on the onscreen keyboard,,2260,T,,,,,,L,,
,42700,GAM-,2270-2,PLAY,Musical Memory 3-CDEG,Play back random patterns of C D E G on the onscreen keyboard,,2270,T,,,,,,L,,
,42750,GAM-,2270-3,QUIZ,Musical Memory 3-CDEG,Play back random patterns of C D E G on the onscreen keyboard,,2270,T,,,,,,L,,
