,,,,,,,
,,MONTHLY,,ANNUAL,,,Annual
,1815,$244.65 ,"$2,935.80 ",0.135,$1.62 ,,0.001
,1820,$245.15 ,"$2,941.80 ",0.135,$1.62 ,,0.001
,1825,$245.65 ,"$2,947.80 ",0.135,$1.62 ,,0.001
,1830,$246.15 ,"$2,953.80 ",0.135,$1.61 ,,0.001
,1835,$246.65 ,"$2,959.80 ",0.134,$1.61 ,,0.001
,1840,$247.15 ,"$2,965.80 ",0.134,$1.61 ,,0.001
,1845,$247.65 ,"$2,971.80 ",0.134,$1.61 ,,0.001
,1850,$248.15 ,"$2,977.80 ",0.134,$1.61 ,,0.001
,1855,$248.65 ,"$2,983.80 ",0.134,$1.61 ,,0.001
,1860,$249.15 ,"$2,989.80 ",0.134,$1.61 ,,0.001
,1865,$249.65 ,"$2,995.80 ",0.134,$1.61 ,,0.001
,1870,$250.15 ,"$3,001.80 ",0.134,$1.61 ,,0.001
,1875,$250.65 ,"$3,007.80 ",0.134,$1.60 ,,0.001
,1880,$251.15 ,"$3,013.80 ",0.134,$1.60 ,,0.001
,1885,$251.65 ,"$3,019.80 ",0.134,$1.60 ,,0.001
,1890,$252.15 ,"$3,025.80 ",0.133,$1.60 ,,0.001
,1895,$252.65 ,"$3,031.80 ",0.133,$1.60 ,,0.001
,1900,$253.15 ,"$3,037.80 ",0.133,$1.60 ,,0.001
,1905,$253.65 ,"$3,043.80 ",0.133,$1.60 ,,0.001
,1910,$254.15 ,"$3,049.80 ",0.133,$1.60 ,,0.001
,1915,$254.65 ,"$3,055.80 ",0.133,$1.60 ,,0.001
,1920,$255.15 ,"$3,061.80 ",0.133,$1.59 ,,0.001
,1925,$255.65 ,"$3,067.80 ",0.133,$1.59 ,,0.001
,1930,$256.15 ,"$3,073.80 ",0.133,$1.59 ,,0.001
,1935,$256.65 ,"$3,079.80 ",0.133,$1.59 ,,0.001
,1940,$257.15 ,"$3,085.80 ",0.133,$1.59 ,,0.001
,1945,$257.65 ,"$3,091.80 ",0.132,$1.59 ,,0.001
,1950,$258.15 ,"$3,097.80 ",0.132,$1.59 ,,0.001
,1955,$258.65 ,"$3,103.80 ",0.132,$1.59 ,,0.001
,1960,$259.15 ,"$3,109.80 ",0.132,$1.59 ,,0.001
,1965,$259.65 ,"$3,115.80 ",0.132,$1.59 ,,0.001
,1970,$260.15 ,"$3,121.80 ",0.132,$1.58 ,,0.001
,1975,$260.65 ,"$3,127.80 ",0.132,$1.58 ,,0.001
,1980,$261.15 ,"$3,133.80 ",0.132,$1.58 ,,0.001
,1985,$261.65 ,"$3,139.80 ",0.132,$1.58 ,,0.001
,1990,$262.15 ,"$3,145.80 ",0.132,$1.58 ,,0.001
,1995,$262.65 ,"$3,151.80 ",0.132,$1.58 ,,0.001
,2000,$263.15 ,"$3,157.80 ",0.132,$1.58 ,,0.001
,2005,$263.65 ,"$3,163.80 ",0.131,$1.58 ,,0.001
,2010,$264.15 ,"$3,169.80 ",0.131,$1.58 ,,0.001
,2015,$264.65 ,"$3,175.80 ",0.131,$1.58 ,,0.001
,2020,$265.15 ,"$3,181.80 ",0.131,$1.58 ,,0.001
,2025,$265.65 ,"$3,187.80 ",0.131,$1.57 ,,0.001
,2030,$266.15 ,"$3,193.80 ",0.131,$1.57 ,,0.001
,2035,$266.65 ,"$3,199.80 ",0.131,$1.57 ,,0.001
,2040,$267.15 ,"$3,205.80 ",0.131,$1.57 ,,0.001
,2045,$267.65 ,"$3,211.80 ",0.131,$1.57 ,,0.001
,2050,$268.15 ,"$3,217.80 ",0.131,$1.57 ,,0.001
,2055,$268.65 ,"$3,223.80 ",0.131,$1.57 ,,0.001
,2060,$269.15 ,"$3,229.80 ",0.131,$1.57 ,,0.001
,2065,$269.65 ,"$3,235.80 ",0.131,$1.57 ,,0.001
,2070,$270.15 ,"$3,241.80 ",0.131,$1.57 ,,0.001
,2075,$270.65 ,"$3,247.80 ",0.130,$1.57 ,,0.001
,2080,$271.15 ,"$3,253.80 ",0.130,$1.56 ,,0.001
,2085,$271.65 ,"$3,259.80 ",0.130,$1.56 ,,0.001
,2090,$272.15 ,"$3,265.80 ",0.130,$1.56 ,,0.001
,2095,$272.65 ,"$3,271.80 ",0.130,$1.56 ,,0.001
,2100,$273.15 ,"$3,277.80 ",0.130,$1.56 ,,0.001
,2105,$273.65 ,"$3,283.80 ",0.130,$1.56 ,,0.001
,2110,$274.15 ,"$3,289.80 ",0.130,$1.56 ,,0.001
,2115,$274.65 ,"$3,295.80 ",0.130,$1.56 ,,0.001
,2120,$275.15 ,"$3,301.80 ",0.130,$1.56 ,,0.001
,2125,$275.65 ,"$3,307.80 ",0.130,$1.56 ,,0.001
,2130,$276.15 ,"$3,313.80 ",0.130,$1.56 ,,0.001
,2135,$276.65 ,"$3,319.80 ",0.130,$1.55 ,,0.001
,2140,$277.15 ,"$3,325.80 ",0.130,$1.55 ,,0.001
,2145,$277.65 ,"$3,331.80 ",0.129,$1.55 ,,0.001
,2150,$278.15 ,"$3,337.80 ",0.129,$1.55 ,,0.001
,2155,$278.65 ,"$3,343.80 ",0.129,$1.55 ,,0.001
,2160,$279.15 ,"$3,349.80 ",0.129,$1.55 ,,0.001
,2165,$279.65 ,"$3,355.80 ",0.129,$1.55 ,,0.001
,2170,$280.15 ,"$3,361.80 ",0.129,$1.55 ,,0.001
,2175,$280.65 ,"$3,367.80 ",0.129,$1.55 ,,0.001
,2180,$281.15 ,"$3,373.80 ",0.129,$1.55 ,,0.001
,2185,$281.65 ,"$3,379.80 ",0.129,$1.55 ,,0.001
,2190,$282.15 ,"$3,385.80 ",0.129,$1.55 ,,0.001
,2195,$282.65 ,"$3,391.80 ",0.129,$1.55 ,,0.001
,2200,$283.15 ,"$3,397.80 ",0.129,$1.54 ,,0.001
,2205,$283.65 ,"$3,403.80 ",0.129,$1.54 ,,0.001
,2210,$284.15 ,"$3,409.80 ",0.129,$1.54 ,,0.001
,2215,$284.65 ,"$3,415.80 ",0.129,$1.54 ,,0.001
,2220,$285.15 ,"$3,421.80 ",0.128,$1.54 ,,0.001
,2225,$285.65 ,"$3,427.80 ",0.128,$1.54 ,,0.001
,2230,$286.15 ,"$3,433.80 ",0.128,$1.54 ,,0.001
,2235,$286.65 ,"$3,439.80 ",0.128,$1.54 ,,0.001
,2240,$287.15 ,"$3,445.80 ",0.128,$1.54 ,,0.001
,2245,$287.65 ,"$3,451.80 ",0.128,$1.54 ,,0.001
,2250,$288.15 ,"$3,457.80 ",0.128,$1.54 ,,0.001
,2255,$288.65 ,"$3,463.80 ",0.128,$1.54 ,,0.001
,2260,$289.15 ,"$3,469.80 ",0.128,$1.54 ,,0.001
,2265,$289.65 ,"$3,475.80 ",0.128,$1.53 ,,0.001
,2270,$290.15 ,"$3,481.80 ",0.128,$1.53 ,,0.001
,2275,$290.65 ,"$3,487.80 ",0.128,$1.53 ,,0.001
,2280,$291.15 ,"$3,493.80 ",0.128,$1.53 ,,0.001
,2285,$291.65 ,"$3,499.80 ",0.128,$1.53 ,,0.001
,2290,$292.15 ,"$3,505.80 ",0.128,$1.53 ,,0.001
,2295,$292.65 ,"$3,511.80 ",0.128,$1.53 ,,0.001
,2300,$293.15 ,"$3,517.80 ",0.127,$1.53 ,,0.001
,2305,$293.65 ,"$3,523.80 ",0.127,$1.53 ,,0.001
,2310,$294.15 ,"$3,529.80 ",0.127,$1.53 ,,0.001
,2315,$294.65 ,"$3,535.80 ",0.127,$1.53 ,,0.001
,2320,$295.15 ,"$3,541.80 ",0.127,$1.53 ,,0.001
,2325,$295.65 ,"$3,547.80 ",0.127,$1.53 ,,0.001
,2330,$296.15 ,"$3,553.80 ",0.127,$1.53 ,,0.001
,2335,$296.65 ,"$3,559.80 ",0.127,$1.52 ,,0.001
,2340,$297.15 ,"$3,565.80 ",0.127,$1.52 ,,0.001
,2345,$297.65 ,"$3,571.80 ",0.127,$1.52 ,,0.001
,2350,$298.15 ,"$3,577.80 ",0.127,$1.52 ,,0.001
,2355,$298.65 ,"$3,583.80 ",0.127,$1.52 ,,0.001
,2360,$299.15 ,"$3,589.80 ",0.127,$1.52 ,,0.001
,2365,$299.65 ,"$3,595.80 ",0.127,$1.52 ,,0.001
,2370,$300.15 ,"$3,601.80 ",0.127,$1.52 ,,0.001
,2375,$300.65 ,"$3,607.80 ",0.127,$1.52 ,,0.001
,2380,$301.15 ,"$3,613.80 ",0.127,$1.52 ,,0.001
,2485,$311.65 ,"$3,739.80 ",0.125,$1.50 ,,0.013
,2490,$312.15 ,"$3,745.80 ",0.125,$1.50 ,,0.001
,2495,$312.65 ,"$3,751.80 ",0.125,$1.50 ,,0.001
,2500,$313.15 ,"$3,757.80 ",0.125,$1.50 ,,0.001
,2505,$313.55 ,"$3,762.60 ",0.125,$1.50 ,,0.001
,2510,$313.95 ,"$3,767.40 ",0.125,$1.50 ,,0.001
,2515,$314.35 ,"$3,772.20 ",0.125,$1.50 ,,0.001
,2520,$314.75 ,"$3,777.00 ",0.125,$1.50 ,,0.001
,2525,$315.15 ,"$3,781.80 ",0.125,$1.50 ,,0.001
,2530,$315.55 ,"$3,786.60 ",0.125,$1.50 ,,0.001
,2535,$315.95 ,"$3,791.40 ",0.125,$1.50 ,,0.001
,2540,$316.35 ,"$3,796.20 ",0.125,$1.49 ,,0.001
,2545,$316.75 ,"$3,801.00 ",0.124,$1.49 ,,0.001
,2550,$317.15 ,"$3,805.80 ",0.124,$1.49 ,,0.001
,2555,$317.55 ,"$3,810.60 ",0.124,$1.49 ,,0.001
,2560,$317.95 ,"$3,815.40 ",0.124,$1.49 ,,0.001
,2565,$318.35 ,"$3,820.20 ",0.124,$1.49 ,,0.001
,2570,$318.75 ,"$3,825.00 ",0.124,$1.49 ,,0.001
,2575,$319.15 ,"$3,829.80 ",0.124,$1.49 ,,0.001
,2580,$319.55 ,"$3,834.60 ",0.124,$1.49 ,,0.001
,2585,$319.95 ,"$3,839.40 ",0.124,$1.49 ,,0.001
,2590,$320.35 ,"$3,844.20 ",0.124,$1.48 ,,0.001
,2595,$320.75 ,"$3,849.00 ",0.124,$1.48 ,,0.001
,2600,$321.15 ,"$3,853.80 ",0.124,$1.48 ,,0.001
,2605,$321.55 ,"$3,858.60 ",0.123,$1.48 ,,0.001
,2610,$321.95 ,"$3,863.40 ",0.123,$1.48 ,,0.001
,2615,$322.35 ,"$3,868.20 ",0.123,$1.48 ,,0.001
,2620,$322.75 ,"$3,873.00 ",0.123,$1.48 ,,0.001
,2625,$323.15 ,"$3,877.80 ",0.123,$1.48 ,,0.001
,2630,$323.55 ,"$3,882.60 ",0.123,$1.48 ,,0.001
,2635,$323.95 ,"$3,887.40 ",0.123,$1.48 ,,0.001
,2640,$324.35 ,"$3,892.20 ",0.123,$1.47 ,,0.001
,2645,$324.75 ,"$3,897.00 ",0.123,$1.47 ,,0.001
,2650,$325.15 ,"$3,901.80 ",0.123,$1.47 ,,0.001
,2655,$325.55 ,"$3,906.60 ",0.123,$1.47 ,,0.001
,2660,$325.95 ,"$3,911.40 ",0.123,$1.47 ,,0.001
,2665,$326.35 ,"$3,916.20 ",0.122,$1.47 ,,0.001
,2670,$326.75 ,"$3,921.00 ",0.122,$1.47 ,,0.001
,2675,$327.15 ,"$3,925.80 ",0.122,$1.47 ,,0.001
,2680,$327.55 ,"$3,930.60 ",0.122,$1.47 ,,0.001
,2685,$327.95 ,"$3,935.40 ",0.122,$1.47 ,,0.001
,2690,$328.35 ,"$3,940.20 ",0.122,$1.46 ,,0.001
,2695,$328.75 ,"$3,945.00 ",0.122,$1.46 ,,0.001
,2700,$329.15 ,"$3,949.80 ",0.122,$1.46 ,,0.001
,2705,$329.55 ,"$3,954.60 ",0.122,$1.46 ,,0.001
,2710,$329.95 ,"$3,959.40 ",0.122,$1.46 ,,0.001
,2715,$330.35 ,"$3,964.20 ",0.122,$1.46 ,,0.001
,2720,$330.75 ,"$3,969.00 ",0.122,$1.46 ,,0.001
,2725,$331.15 ,"$3,973.80 ",0.122,$1.46 ,,0.001
,2730,$331.55 ,"$3,978.60 ",0.121,$1.46 ,,0.001
,2735,$331.95 ,"$3,983.40 ",0.121,$1.46 ,,0.001
,2740,$332.35 ,"$3,988.20 ",0.121,$1.46 ,,0.001
,2745,$332.75 ,"$3,993.00 ",0.121,$1.45 ,,0.001
,2750,$333.15 ,"$3,997.80 ",0.121,$1.45 ,,0.001
,2755,$333.55 ,"$4,002.60 ",0.121,$1.45 ,,0.001
,2760,$333.95 ,"$4,007.40 ",0.121,$1.45 ,,0.001
,2765,$334.35 ,"$4,012.20 ",0.121,$1.45 ,,0.001
,2770,$334.75 ,"$4,017.00 ",0.121,$1.45 ,,0.001
,2775,$335.15 ,"$4,021.80 ",0.121,$1.45 ,,0.001
,2780,$335.55 ,"$4,026.60 ",0.121,$1.45 ,,0.001
,2785,$335.95 ,"$4,031.40 ",0.121,$1.45 ,,0.001
,2790,$336.35 ,"$4,036.20 ",0.121,$1.45 ,,0.001
,2795,$336.75 ,"$4,041.00 ",0.120,$1.45 ,,0.001
,2800,$337.15 ,"$4,045.80 ",0.120,$1.44 ,,0.001
,2805,$337.55 ,"$4,050.60 ",0.120,$1.44 ,,0.001
,2810,$337.95 ,"$4,055.40 ",0.120,$1.44 ,,0.001
,2815,$338.35 ,"$4,060.20 ",0.120,$1.44 ,,0.001
,2820,$338.75 ,"$4,065.00 ",0.120,$1.44 ,,0.001
,2825,$339.15 ,"$4,069.80 ",0.120,$1.44 ,,0.001
,2830,$339.55 ,"$4,074.60 ",0.120,$1.44 ,,0.001
,2835,$339.95 ,"$4,079.40 ",0.120,$1.44 ,,0.001
,2840,$340.35 ,"$4,084.20 ",0.120,$1.44 ,,0.001
,2845,$340.75 ,"$4,089.00 ",0.120,$1.44 ,,0.001
,2850,$341.15 ,"$4,093.80 ",0.120,$1.44 ,,0.001
,2855,$341.55 ,"$4,098.60 ",0.120,$1.44 ,,0.001
,2860,$341.95 ,"$4,103.40 ",0.120,$1.43 ,,0.001
,2865,$342.35 ,"$4,108.20 ",0.119,$1.43 ,,0.001
,2870,$342.75 ,"$4,113.00 ",0.119,$1.43 ,,0.001
,2875,$343.15 ,"$4,117.80 ",0.119,$1.43 ,,0.001
,2880,$343.55 ,"$4,122.60 ",0.119,$1.43 ,,0.001
,2885,$343.95 ,"$4,127.40 ",0.119,$1.43 ,,0.001
,2890,$344.35 ,"$4,132.20 ",0.119,$1.43 ,,0.001
,2895,$344.75 ,"$4,137.00 ",0.119,$1.43 ,,0.001
,2900,$345.15 ,"$4,141.80 ",0.119,$1.43 ,,0.001
,2905,$345.55 ,"$4,146.60 ",0.119,$1.43 ,,0.001
,2910,$345.95 ,"$4,151.40 ",0.119,$1.43 ,,0.001
,2915,$346.35 ,"$4,156.20 ",0.119,$1.43 ,,0.001
,2920,$346.75 ,"$4,161.00 ",0.119,$1.43 ,,0.001
,2925,$347.15 ,"$4,165.80 ",0.119,$1.42 ,,0.001
,2930,$347.55 ,"$4,170.60 ",0.119,$1.42 ,,0.001
,2935,$347.95 ,"$4,175.40 ",0.119,$1.42 ,,0.001
,2940,$348.35 ,"$4,180.20 ",0.118,$1.42 ,,0.001
,2945,$348.75 ,"$4,185.00 ",0.118,$1.42 ,,0.001
,2950,$349.15 ,"$4,189.80 ",0.118,$1.42 ,,0.001
,2955,$349.55 ,"$4,194.60 ",0.118,$1.42 ,,0.001
,2960,$349.95 ,"$4,199.40 ",0.118,$1.42 ,,0.001
,2965,$350.35 ,"$4,204.20 ",0.118,$1.42 ,,0.001
,2970,$350.75 ,"$4,209.00 ",0.118,$1.42 ,,0.001
,2975,$351.15 ,"$4,213.80 ",0.118,$1.42 ,,0.001
,2980,$351.55 ,"$4,218.60 ",0.118,$1.42 ,,0.001
,2985,$351.95 ,"$4,223.40 ",0.118,$1.41 ,,0.001
,2990,$352.35 ,"$4,228.20 ",0.118,$1.41 ,,0.001
,2995,$352.75 ,"$4,233.00 ",0.118,$1.41 ,,0.001
,3000,$353.15 ,"$4,237.80 ",0.118,$1.41 ,,0.001
,3005,$353.55 ,"$4,242.60 ",0.118,$1.41 ,,0.001
,3010,$353.95 ,"$4,247.40 ",0.118,$1.41 ,,0.001
,3015,$354.35 ,"$4,252.20 ",0.118,$1.41 ,,0.001
,3020,$354.75 ,"$4,257.00 ",0.117,$1.41 ,,0.001
,3025,$355.15 ,"$4,261.80 ",0.117,$1.41 ,,0.001
,3030,$355.55 ,"$4,266.60 ",0.117,$1.41 ,,0.001
,3035,$355.95 ,"$4,271.40 ",0.117,$1.41 ,,0.001
,3040,$356.35 ,"$4,276.20 ",0.117,$1.41 ,,0.001
,3045,$356.75 ,"$4,281.00 ",0.117,$1.41 ,,0.001
,3050,$357.15 ,"$4,285.80 ",0.117,$1.41 ,,0.001
,3055,$357.55 ,"$4,290.60 ",0.117,$1.40 ,,0.001
,3060,$357.95 ,"$4,295.40 ",0.117,$1.40 ,,0.001
,3065,$358.35 ,"$4,300.20 ",0.117,$1.40 ,,0.001
,3070,$358.75 ,"$4,305.00 ",0.117,$1.40 ,,0.001
,3075,$359.15 ,"$4,309.80 ",0.117,$1.40 ,,0.001
,3080,$359.55 ,"$4,314.60 ",0.117,$1.40 ,,0.001
,3085,$359.95 ,"$4,319.40 ",0.117,$1.40 ,,0.001
,3090,$360.35 ,"$4,324.20 ",0.117,$1.40 ,,0.001
,3095,$360.75 ,"$4,329.00 ",0.117,$1.40 ,,0.001
,3100,$361.15 ,"$4,333.80 ",0.117,$1.40 ,,0.001
,3105,$361.55 ,"$4,338.60 ",0.116,$1.40 ,,0.001
,3110,$361.95 ,"$4,343.40 ",0.116,$1.40 ,,0.001
,3115,$362.35 ,"$4,348.20 ",0.116,$1.40 ,,0.001
,3120,$362.75 ,"$4,353.00 ",0.116,$1.40 ,,0.001
,3125,$363.15 ,"$4,357.80 ",0.116,$1.39 ,,0.001
,3130,$363.55 ,"$4,362.60 ",0.116,$1.39 ,,0.001
,3135,$363.95 ,"$4,367.40 ",0.116,$1.39 ,,0.001
,3140,$364.35 ,"$4,372.20 ",0.116,$1.39 ,,0.001
,3145,$364.75 ,"$4,377.00 ",0.116,$1.39 ,,0.001
,3150,$365.15 ,"$4,381.80 ",0.116,$1.39 ,,0.001
,3155,$365.55 ,"$4,386.60 ",0.116,$1.39 ,,0.001
,3160,$365.95 ,"$4,391.40 ",0.116,$1.39 ,,0.001
,3165,$366.35 ,"$4,396.20 ",0.116,$1.39 ,,0.001
,3170,$366.75 ,"$4,401.00 ",0.116,$1.39 ,,0.001
,3175,$367.15 ,"$4,405.80 ",0.116,$1.39 ,,0.001
,3180,$367.55 ,"$4,410.60 ",0.116,$1.39 ,,0.001
,3185,$367.95 ,"$4,415.40 ",0.116,$1.39 ,,0.001
,3190,$368.35 ,"$4,420.20 ",0.115,$1.39 ,,0.001
,3195,$368.75 ,"$4,425.00 ",0.115,$1.38 ,,0.001
,3200,$369.15 ,"$4,429.80 ",0.115,$1.38 ,,0.001
,3205,$369.55 ,"$4,434.60 ",0.115,$1.38 ,,0.001
,3210,$369.95 ,"$4,439.40 ",0.115,$1.38 ,,0.001
,3215,$370.35 ,"$4,444.20 ",0.115,$1.38 ,,0.001
,3220,$370.75 ,"$4,449.00 ",0.115,$1.38 ,,0.001
,3225,$371.15 ,"$4,453.80 ",0.115,$1.38 ,,0.001
,3230,$371.55 ,"$4,458.60 ",0.115,$1.38 ,,0.001
,3235,$371.95 ,"$4,463.40 ",0.115,$1.38 ,,0.001
,3240,$372.35 ,"$4,468.20 ",0.115,$1.38 ,,0.001
,3245,$372.75 ,"$4,473.00 ",0.115,$1.38 ,,0.001
,3250,$373.15 ,"$4,477.80 ",0.115,$1.38 ,,0.001
,3255,$373.55 ,"$4,482.60 ",0.115,$1.38 ,,0.001
,3260,$373.95 ,"$4,487.40 ",0.115,$1.38 ,,0.001
,3265,$374.35 ,"$4,492.20 ",0.115,$1.38 ,,0.001
,3270,$374.75 ,"$4,497.00 ",0.115,$1.38 ,,0.001
,3275,$375.15 ,"$4,501.80 ",0.115,$1.37 ,,0.001
,3280,$375.55 ,"$4,506.60 ",0.114,$1.37 ,,0.001
,3285,$375.95 ,"$4,511.40 ",0.114,$1.37 ,,0.001
,3290,$376.35 ,"$4,516.20 ",0.114,$1.37 ,,0.001
,3295,$376.75 ,"$4,521.00 ",0.114,$1.37 ,,0.001
,3300,$377.15 ,"$4,525.80 ",0.114,$1.37 ,,0.001
,3305,$377.55 ,"$4,530.60 ",0.114,$1.37 ,,0.001
,3310,$377.95 ,"$4,535.40 ",0.114,$1.37 ,,0.001
,3315,$378.35 ,"$4,540.20 ",0.114,$1.37 ,,0.001
,3320,$378.75 ,"$4,545.00 ",0.114,$1.37 ,,0.001
,3325,$379.15 ,"$4,549.80 ",0.114,$1.37 ,,0.001
,3330,$379.55 ,"$4,554.60 ",0.114,$1.37 ,,0.001
,3335,$379.95 ,"$4,559.40 ",0.114,$1.37 ,,0.001
,3340,$380.35 ,"$4,564.20 ",0.114,$1.37 ,,0.001
,3345,$380.75 ,"$4,569.00 ",0.114,$1.37 ,,0.001
,3350,$381.15 ,"$4,573.80 ",0.114,$1.37 ,,0.001
,3355,$381.55 ,"$4,578.60 ",0.114,$1.36 ,,0.001
,3360,$381.95 ,"$4,583.40 ",0.114,$1.36 ,,0.001
,3365,$382.35 ,"$4,588.20 ",0.114,$1.36 ,,0.001
,3370,$382.75 ,"$4,593.00 ",0.114,$1.36 ,,0.001
,3375,$383.15 ,"$4,597.80 ",0.114,$1.36 ,,0.001
,3380,$383.55 ,"$4,602.60 ",0.113,$1.36 ,,0.001
,3385,$383.95 ,"$4,607.40 ",0.113,$1.36 ,,0.001
,3390,$384.35 ,"$4,612.20 ",0.113,$1.36 ,,0.001
,3395,$384.75 ,"$4,617.00 ",0.113,$1.36 ,,0.001
,3400,$385.15 ,"$4,621.80 ",0.113,$1.36 ,,0.001
,3405,$385.55 ,"$4,626.60 ",0.113,$1.36 ,,0.001
,3410,$385.95 ,"$4,631.40 ",0.113,$1.36 ,,0.001
,3415,$386.35 ,"$4,636.20 ",0.113,$1.36 ,,0.001
,3420,$386.75 ,"$4,641.00 ",0.113,$1.36 ,,0.001
,3425,$387.15 ,"$4,645.80 ",0.113,$1.36 ,,0.001
,3430,$387.55 ,"$4,650.60 ",0.113,$1.36 ,,0.001
,3435,$387.95 ,"$4,655.40 ",0.113,$1.36 ,,0.001
,3440,$388.35 ,"$4,660.20 ",0.113,$1.35 ,,0.001
,3445,$388.75 ,"$4,665.00 ",0.113,$1.35 ,,0.001
,3450,$389.15 ,"$4,669.80 ",0.113,$1.35 ,,0.001
,3455,$389.55 ,"$4,674.60 ",0.113,$1.35 ,,0.001
,3460,$389.95 ,"$4,679.40 ",0.113,$1.35 ,,0.001
,3465,$390.35 ,"$4,684.20 ",0.113,$1.35 ,,0.001
,3470,$390.75 ,"$4,689.00 ",0.113,$1.35 ,,0.001
,3475,$391.15 ,"$4,693.80 ",0.113,$1.35 ,,0.001
,3480,$391.55 ,"$4,698.60 ",0.113,$1.35 ,,0.001
,3485,$391.95 ,"$4,703.40 ",0.112,$1.35 ,,0.001
,3490,$392.35 ,"$4,708.20 ",0.112,$1.35 ,,0.001
,3495,$392.75 ,"$4,713.00 ",0.112,$1.35 ,,0.001
,3500,$393.15 ,"$4,717.80 ",0.112,$1.35 ,,0.001
,3505,$393.55 ,"$4,722.60 ",0.112,$1.35 ,,0.001
,3510,$393.95 ,"$4,727.40 ",0.112,$1.35 ,,0.001
,3515,$394.35 ,"$4,732.20 ",0.112,$1.35 ,,0.001
,3520,$394.75 ,"$4,737.00 ",0.112,$1.35 ,,0.001
,3525,$395.15 ,"$4,741.80 ",0.112,$1.35 ,,0.001
,3530,$395.55 ,"$4,746.60 ",0.112,$1.34 ,,0.001
,3535,$395.95 ,"$4,751.40 ",0.112,$1.34 ,,0.001
,3540,$396.35 ,"$4,756.20 ",0.112,$1.34 ,,0.001
,3545,$396.75 ,"$4,761.00 ",0.112,$1.34 ,,0.001
,3550,$397.15 ,"$4,765.80 ",0.112,$1.34 ,,0.001
,3555,$397.55 ,"$4,770.60 ",0.112,$1.34 ,,0.001
,3560,$397.95 ,"$4,775.40 ",0.112,$1.34 ,,0.001
,3565,$398.35 ,"$4,780.20 ",0.112,$1.34 ,,0.001
,3570,$398.75 ,"$4,785.00 ",0.112,$1.34 ,,0.001
,3575,$399.15 ,"$4,789.80 ",0.112,$1.34 ,,0.001
,3580,$399.55 ,"$4,794.60 ",0.112,$1.34 ,,0.001
,3585,$399.95 ,"$4,799.40 ",0.112,$1.34 ,,0.001
,3590,$400.35 ,"$4,804.20 ",0.112,$1.34 ,,0.001
,3595,$400.75 ,"$4,809.00 ",0.111,$1.34 ,,0.001
,3600,$401.15 ,"$4,813.80 ",0.111,$1.34 ,,0.001
,3605,$401.55 ,"$4,818.60 ",0.111,$1.34 ,,0.001
,3610,$401.95 ,"$4,823.40 ",0.111,$1.34 ,,0.001
,3615,$402.35 ,"$4,828.20 ",0.111,$1.34 ,,0.001
,3620,$402.75 ,"$4,833.00 ",0.111,$1.34 ,,0.001
,3625,$403.15 ,"$4,837.80 ",0.111,$1.33 ,,0.001
,3630,$403.55 ,"$4,842.60 ",0.111,$1.33 ,,0.001
,3635,$403.95 ,"$4,847.40 ",0.111,$1.33 ,,0.001
,3640,$404.35 ,"$4,852.20 ",0.111,$1.33 ,,0.001
,3645,$404.75 ,"$4,857.00 ",0.111,$1.33 ,,0.001
,3650,$405.15 ,"$4,861.80 ",0.111,$1.33 ,,0.001
,3655,$405.55 ,"$4,866.60 ",0.111,$1.33 ,,0.001
,3660,$405.95 ,"$4,871.40 ",0.111,$1.33 ,,0.001
,3665,$406.35 ,"$4,876.20 ",0.111,$1.33 ,,0.001
,3670,$406.75 ,"$4,881.00 ",0.111,$1.33 ,,0.001
,3675,$407.15 ,"$4,885.80 ",0.111,$1.33 ,,0.001
,3680,$407.55 ,"$4,890.60 ",0.111,$1.33 ,,0.001
,3685,$407.95 ,"$4,895.40 ",0.111,$1.33 ,,0.001
,3690,$408.35 ,"$4,900.20 ",0.111,$1.33 ,,0.000
,3695,$408.75 ,"$4,905.00 ",0.111,$1.33 ,,0.000
,3700,$409.15 ,"$4,909.80 ",0.111,$1.33 ,,0.000
,3705,$409.55 ,"$4,914.60 ",0.111,$1.33 ,,0.000
,3710,$409.95 ,"$4,919.40 ",0.110,$1.33 ,,0.000
,3715,$410.35 ,"$4,924.20 ",0.110,$1.33 ,,0.000
,3720,$410.75 ,"$4,929.00 ",0.110,$1.33 ,,0.000
,3725,$411.15 ,"$4,933.80 ",0.110,$1.32 ,,0.000
,3730,$411.55 ,"$4,938.60 ",0.110,$1.32 ,,0.000
,3735,$411.95 ,"$4,943.40 ",0.110,$1.32 ,,0.000
,3740,$412.35 ,"$4,948.20 ",0.110,$1.32 ,,0.000
,3745,$412.75 ,"$4,953.00 ",0.110,$1.32 ,,0.000
,3750,$413.15 ,"$4,957.80 ",0.110,$1.32 ,,0.000
,3755,$413.55 ,"$4,962.60 ",0.110,$1.32 ,,0.000
,3760,$413.95 ,"$4,967.40 ",0.110,$1.32 ,,0.000
,3765,$414.35 ,"$4,972.20 ",0.110,$1.32 ,,0.000
,3770,$414.75 ,"$4,977.00 ",0.110,$1.32 ,,0.000
,3775,$415.15 ,"$4,981.80 ",0.110,$1.32 ,,0.000
,3780,$415.55 ,"$4,986.60 ",0.110,$1.32 ,,0.000
,3785,$415.95 ,"$4,991.40 ",0.110,$1.32 ,,0.000
,3790,$416.35 ,"$4,996.20 ",0.110,$1.32 ,,0.000
,3795,$416.75 ,"$5,001.00 ",0.110,$1.32 ,,0.000
